;O_P_ Numero;Item_O_P;Desc_item;ITEMS_NUEVO ;Bodega;Fecha;U_M_inv.;Neto_peso;Entradas_peso;Entradas_inv;Salidas_inv;Salidas_peso;Salidas_prom;Neto_prom;Costo_MP_sal;Costo_MO_sal;Costo_CIF_sal;Tipo_inventario;Costo_CIF_NP_ent;Costo_MO_ent;Costo_CIF_EN_ent;Tipo_docto
;OP-00001648;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;CINTA CR 0,52 MM X 145 MM;OP-0000164800002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;01/02/2022;kg  ;-2.598,00;0,00;0,00;2.598,00;2.598,00;$9.074.571,52;-$9.074.571,52;$9.060.213,24;$4.165,46;$10.192,82;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001648;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;FLEJE ANCHO CORRIENTE NEGRO C.24;OP-0000164800002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;01/02/2022;Und ;2.745,00;2.745,00;732,00;0,00;0,00;$0,00;$9.391.630,02;$0,00;$0,00;$0,00;IN143005  ;$10.192,82;$187.327,46;$133.896,50;EDP
;OP-00001655;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;CINTA CR 0,52 MM X 145 MM;OP-0000165500002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;01/02/2022;kg  ;-866,00;0,00;0,00;866,00;866,00;$3.024.868,72;-$3.024.868,72;$3.020.071,08;$1.385,60;$3.412,04;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001655;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;FLEJE ANCHO CORRIENTE NEGRO C.24;OP-0000165500002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;02/02/2022;Und ;915,00;915,00;244,00;0,00;0,00;$0,00;$3.431.161,22;$0,00;$0,00;$0,00;IN143005  ;$3.412,04;$236.879,60;$170.798,50;EDP
;OP-00001656;00001121 PERFIL PASAMANOS T.A. C.20A;CINTA 0.75 MM x 109 MM;OP-0000165600001121 PERFIL PASAMANOS T.A. C.20A;00105;01/02/2022;kg  ;-2.004,00;0,00;0,00;2.004,00;2.004,00;$8.054.971,07;-$8.054.971,07;$8.035.465,51;$7.201,03;$12.304,53;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00001121 PERFIL PASAMANOS T.A. C.20A;PERFIL PASAMANOS T.A. C.20A;OP-0000165600001121 PERFIL PASAMANOS T.A. C.20A;00105;02/02/2022;Und ;2.046,72;2.046,72;492,00;0,00;0,00;$0,00;$8.488.203,07;$0,00;$0,00;$0,00;IN143005  ;$12.304,53;$124.948,03;$315.485,00;EDP
;OP-00001656;00004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;CINTA GALV 0,38 MM X 40 MM;OP-0000165600004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;00105;01/02/2022;kg  ;-260,00;0,00;0,00;260,00;260,00;$1.075.425,00;-$1.075.425,00;$1.067.105,00;$2.867,80;$5.452,20;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;OP-0000165600004475 PERFIL LIV. ANGULO GALV 20 X 20 CAL. 26;00105;02/02/2022;Und ;225,94;225,94;869,00;0,00;0,00;$0,00;$1.303.494,00;$0,00;$0,00;$0,00;IN143005  ;$5.452,20;$117.050,80;$113.886,00;EDP
;OP-00001656;00004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;CINTA HR 1.40 MM X 249 MM;OP-0000165600004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;00105;01/02/2022;kg  ;-4.100,00;0,00;0,00;4.100,00;4.100,00;$18.311.646,19;-$18.311.646,19;$18.300.780,73;$4.469,00;$6.396,46;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;PERFIL C HR 120 MM X 60 MM CAL. 16B;OP-0000165600004569 PERFIL C HR 120 MM X 60 MM CAL. 16B;00105;02/02/2022;Und ;4.541,76;4.541,76;249,00;0,00;0,00;$0,00;$18.677.920,63;$0,00;$0,00;$0,00;IN143005  ;$6.396,46;$225.833,36;$144.910,08;EDP
;OP-00001656;00004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;CINTA HR 1.40 MM X 398 MM;OP-0000165600004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;00105;01/02/2022;kg  ;-3.293,00;0,00;0,00;3.293,00;3.293,00;$14.635.310,41;-$14.635.310,41;$14.632.083,27;$1.350,13;$1.877,01;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;PERFIL C HR 220 MM X 80 MM CAL. 16B;OP-0000165600004570 PERFIL C HR 220 MM X 80 MM CAL. 16B;00105;02/02/2022;Und ;3.527,64;3.527,64;123,00;0,00;0,00;$0,00;$14.931.334,10;$0,00;$0,00;$0,00;IN143005  ;$1.877,01;$180.194,74;$117.179,08;EDP
;OP-00001656;00005019 PERFIL C HR 220 MM X 80 MM CAL.14;CINTA HR 1.85 MM X 395 MM;OP-0000165600005019 PERFIL C HR 220 MM X 80 MM CAL.14;00105;01/02/2022;kg  ;-1.360,00;0,00;0,00;1.360,00;1.360,00;$3.751.804,80;-$3.751.804,80;$3.737.443,20;$5.888,80;$8.472,80;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001656;00005019 PERFIL C HR 220 MM X 80 MM CAL.14;PERFIL C HR 220 MM X 80 MM CAL.14;OP-0000165600005019 PERFIL C HR 220 MM X 80 MM CAL.14;00105;02/02/2022;Und ;1.411,80;1.411,80;39,00;0,00;0,00;$0,00;$3.868.725,60;$0,00;$0,00;$0,00;IN143005  ;$8.472,80;$76.537,00;$46.272,60;EDP
;OP-00001657;00001128 TUBO CUAD 1 C.18B;CINTA CR 1.05 MM X 92 MM;OP-0000165700001128 TUBO CUAD 1 C.18B;00105;01/02/2022;kg  ;-1.148,00;0,00;0,00;1.148,00;1.148,00;$4.021.805,62;-$4.021.805,62;$4.008.018,14;$5.653,90;$8.133,58;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001128 TUBO CUAD 1 C.18B;TUBO CUAD 1 C.18B;OP-0000165700001128 TUBO CUAD 1 C.18B;00105;02/02/2022;Und ;1.278,40;1.278,40;252,00;0,00;0,00;$0,00;$4.190.445,12;$0,00;$0,00;$0,00;IN143005  ;$8.133,58;$51.444,40;$122.849,00;EDP
;OP-00001657;00001132 TUBO CUAD 1 C.22;CINTA CR 0,65 MM X 93 MM;OP-0000165700001132 TUBO CUAD 1 C.22;00105;01/02/2022;kg  ;-562,00;0,00;0,00;562,00;562,00;$2.133.543,08;-$2.133.543,08;$2.129.097,66;$1.742,20;$2.703,22;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001132 TUBO CUAD 1 C.22;TUBO CUAD 1 C.22;OP-0000165700001132 TUBO CUAD 1 C.22;00105;02/02/2022;Und ;656,10;656,10;199,00;0,00;0,00;$0,00;$2.217.862,83;$0,00;$0,00;$0,00;IN143005  ;$2.703,22;$24.637,45;$61.424,50;EDP
;OP-00001657;00001133 TUBO CUAD 3/4 C.18B;CINTA 1,05 MM x 73 MM;OP-0000165700001133 TUBO CUAD 3/4 C.18B;00105;01/02/2022;kg  ;-456,00;0,00;0,00;456,00;456,00;$1.602.493,44;-$1.602.493,44;$1.596.437,76;$2.485,20;$3.570,48;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001133 TUBO CUAD 3/4 C.18B;TUBO CUAD 3/4 C.18B;OP-0000165700001133 TUBO CUAD 3/4 C.18B;00105;02/02/2022;Und ;481,25;481,25;125,00;0,00;0,00;$0,00;$1.667.478,24;$0,00;$0,00;$0,00;IN143005  ;$3.570,48;$20.147,25;$47.322,75;EDP
;OP-00001657;00001134 TUBO CUAD 3/4 C.20A;CINTA 0.75 MM x 73 MM;OP-0000165700001134 TUBO CUAD 3/4 C.20A;00105;01/02/2022;kg  ;-449,00;0,00;0,00;449,00;449,00;$1.674.990,01;-$1.674.990,01;$1.670.693,08;$1.764,57;$2.532,36;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001134 TUBO CUAD 3/4 C.20A;TUBO CUAD 3/4 C.20A;OP-0000165700001134 TUBO CUAD 3/4 C.20A;00105;02/02/2022;Und ;495,25;495,25;175,00;0,00;0,00;$0,00;$1.739.974,81;$0,00;$0,00;$0,00;IN143005  ;$2.532,36;$19.426,62;$47.322,75;EDP
;OP-00001657;00001136 TUBO CUAD 3/4 C.22;CINTA 0,65 MM x 73 MM;OP-0000165700001136 TUBO CUAD 3/4 C.22;00105;01/02/2022;kg  ;-1.019,00;0,00;0,00;1.019,00;1.019,00;$3.957.624,04;-$3.957.624,04;$3.949.556,75;$3.307,29;$4.760,00;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001136 TUBO CUAD 3/4 C.22;TUBO CUAD 3/4 C.22;OP-0000165700001136 TUBO CUAD 3/4 C.22;00105;02/02/2022;Und ;1.099,53;1.099,53;443,00;0,00;0,00;$0,00;$4.106.928,59;$0,00;$0,00;$0,00;IN143005  ;$4.760,00;$43.864,59;$108.747,25;EDP
;OP-00001657;00001142 TUBO RECT 2X1 C.18A;CINTA 0.95 MM x 147 MM;OP-0000165700001142 TUBO RECT 2X1 C.18A;00105;01/02/2022;kg  ;-3.784,00;0,00;0,00;3.784,00;3.784,00;$15.752.867,68;-$15.752.867,68;$15.728.120,32;$10.141,12;$14.606,24;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001142 TUBO RECT 2X1 C.18A;TUBO RECT 2X1 C.18A;OP-0000165700001142 TUBO RECT 2X1 C.18A;00105;02/02/2022;Und ;4.023,36;4.023,36;562,00;0,00;0,00;$0,00;$16.311.415,98;$0,00;$0,00;$0,00;IN143005  ;$14.606,24;$161.903,92;$406.785,50;EDP
;OP-00001657;00001148 TUBO RECT 3X1 1/2 C.20A;CINTA 0.75 MM x 225 MM;OP-0000165700001148 TUBO RECT 3X1 1/2 C.20A;00105;01/02/2022;kg  ;-8.842,00;0,00;0,00;8.842,00;8.842,00;$37.645.893,84;-$37.645.893,84;$37.610.101,25;$14.660,21;$21.132,38;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001148 TUBO RECT 3X1 1/2 C.20A;TUBO RECT 3X1 1/2 C.20A;OP-0000165700001148 TUBO RECT 3X1 1/2 C.20A;00105;02/02/2022;Und ;8.791,93;8.791,93;1.019,00;0,00;0,00;$0,00;$38.945.589,84;$0,00;$0,00;$0,00;IN143005  ;$21.132,38;$367.901,21;$946.455,00;EDP
;OP-00001657;00001150 TUBO RECT 3X1 1/2 C.22;CINTA 0,65 MM X 225 MM;OP-0000165700001150 TUBO RECT 3X1 1/2 C.22;00105;01/02/2022;kg  ;-4.932,00;0,00;0,00;4.932,00;4.932,00;$20.077.749,94;-$20.077.749,94;$20.061.914,18;$6.429,40;$9.406,36;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00001150 TUBO RECT 3X1 1/2 C.22;TUBO RECT 3X1 1/2 C.22;OP-0000165700001150 TUBO RECT 3X1 1/2 C.22;00105;02/02/2022;Und ;5.237,78;5.237,78;691,00;0,00;0,00;$0,00;$20.805.579,70;$0,00;$0,00;$0,00;IN143005  ;$9.406,36;$204.244,36;$530.014,80;EDP
;OP-00001657;00002356 TUBO CUAD 1 1/2 C.18A;CINTA 0.95 MM x 147 MM;OP-0000165700002356 TUBO CUAD 1 1/2 C.18A;00105;01/02/2022;kg  ;-941,00;0,00;0,00;941,00;941,00;$3.917.393,17;-$3.917.393,17;$3.911.252,62;$2.525,86;$3.614,69;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00002356 TUBO CUAD 1 1/2 C.18A;TUBO CUAD 1 1/2 C.18A;OP-0000165700002356 TUBO CUAD 1 1/2 C.18A;00105;02/02/2022;Und ;1.023,74;1.023,74;143,00;0,00;0,00;$0,00;$4.053.700,76;$0,00;$0,00;$0,00;IN143005  ;$3.614,69;$39.550,75;$99.282,70;EDP
;OP-00001657;00002370 TUBO RECT 20X40 CAL. 18A;CINTA 0.95 MM x 116 MM;OP-0000165700002370 TUBO RECT 20X40 CAL. 18A;00105;01/02/2022;kg  ;-2.583,00;0,00;0,00;2.583,00;2.583,00;$10.765.073,21;-$10.765.073,21;$10.743.678,54;$8.773,00;$12.621,67;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00002370 TUBO RECT 20X40 CAL. 18A;TUBO RECT 20X40 CAL. 18A;OP-0000165700002370 TUBO RECT 20X40 CAL. 18A;00105;02/02/2022;Und ;2.858,52;2.858,52;498,00;0,00;0,00;$0,00;$11.141.664,07;$0,00;$0,00;$0,00;IN143005  ;$12.621,67;$111.082,06;$274.281,80;EDP
;OP-00001657;00003999 TUBO RECT HR 3 X 1 1/2 C.14;CINTA HR 1.85 MM X 225 MM;OP-0000165700003999 TUBO RECT HR 3 X 1 1/2 C.14;00105;01/02/2022;kg  ;-3.815,00;0,00;0,00;3.815,00;3.815,00;$10.596.582,66;-$10.596.582,66;$10.574.951,10;$8.850,80;$12.780,76;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00003999 TUBO RECT HR 3 X 1 1/2 C.14;TUBO RECT HR 3 X 1 1/2 C.14;OP-0000165700003999 TUBO RECT HR 3 X 1 1/2 C.14;00105;02/02/2022;Und ;3.912,30;3.912,30;189,00;0,00;0,00;$0,00;$11.155.130,96;$0,00;$0,00;$0,00;IN143005  ;$12.780,76;$160.613,60;$406.785,50;EDP
;OP-00001657;00004328 TUBO CR REDONDO 5/8 CAL 22;CINTA CR 0.65 MM X 48 MM;OP-0000165700004328 TUBO CR REDONDO 5/8 CAL 22;00105;01/02/2022;kg  ;-374,00;0,00;0,00;374,00;374,00;$1.460.844,00;-$1.460.844,00;$1.456.685,12;$1.705,44;$2.453,44;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00004328 TUBO CR REDONDO 5/8 CAL 22;TUBO CR REDONDO 5/8 CAL 22;OP-0000165700004328 TUBO CR REDONDO 5/8 CAL 22;00105;02/02/2022;Und ;419,58;419,58;259,00;0,00;0,00;$0,00;$1.512.510,86;$0,00;$0,00;$0,00;IN143005  ;$2.453,44;$15.704,25;$37.668,05;EDP
;OP-00001657;00004332 TUBO RED HR 1/2 CAL 16 B;CINTA HR 1.35 MM X 57 MM;OP-0000165700004332 TUBO RED HR 1/2 CAL 16 B;00105;01/02/2022;kg  ;-952,00;0,00;0,00;952,00;952,00;$2.978.939,40;-$2.978.939,40;$2.962.152,29;$5.997,60;$10.789,51;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00004332 TUBO RED HR 1/2 CAL 16 B;TUBO RED HR 1/2 CAL 16 B;OP-0000165700004332 TUBO RED HR 1/2 CAL 16 B;00105;02/02/2022;Und ;983,04;983,04;256,00;0,00;0,00;$0,00;$3.121.905,96;$0,00;$0,00;$0,00;IN143005  ;$10.789,51;$44.854,11;$104.110,05;EDP
;OP-00001657;00004529 TUBO CUAD HR 100 X 100 C. 16B;CINTA HR 1.35 MM X 395 MM;OP-0000165700004529 TUBO CUAD HR 100 X 100 C. 16B;00105;01/02/2022;kg  ;-3.249,00;0,00;0,00;3.249,00;3.249,00;$10.828.980,35;-$10.828.980,35;$10.820.452,54;$3.119,04;$5.408,77;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00004529 TUBO CUAD HR 100 X 100 C. 16B;TUBO CUAD HR 100 X 100 C. 16B;OP-0000165700004529 TUBO CUAD HR 100 X 100 C. 16B;00105;02/02/2022;Und ;2.995,56;2.995,56;106,00;0,00;0,00;$0,00;$11.312.898,61;$0,00;$0,00;$0,00;IN143005  ;$5.408,77;$133.687,38;$353.349,92;EDP
;OP-00001657;00004997 TUBO CUAD HR 50 X 50 CAL 14B;CINTA HR 1.85 MM X 196 MM;OP-0000165700004997 TUBO CUAD HR 50 X 50 CAL 14B;00105;01/02/2022;kg  ;-3.291,00;0,00;0,00;3.291,00;3.291,00;$9.163.673,99;-$9.163.673,99;$9.137.872,81;$10.580,50;$15.220,68;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00004997 TUBO CUAD HR 50 X 50 CAL 14B;TUBO CUAD HR 50 X 50 CAL 14B;OP-0000165700004997 TUBO CUAD HR 50 X 50 CAL 14B;00105;02/02/2022;Und ;3.326,30;3.326,30;185,00;0,00;0,00;$0,00;$9.650.899,50;$0,00;$0,00;$0,00;IN143005  ;$15.220,68;$142.980,46;$354.825,55;EDP
;OP-00001657;00004998 TUBO CUAD HR 70 X 70 CAL 14B;CINTA HR 1.85 MM X 276 MM;OP-0000165700004998 TUBO CUAD HR 70 X 70 CAL 14B;00105;01/02/2022;kg  ;-3.111,00;0,00;0,00;3.111,00;3.111,00;$8.611.372,44;-$8.611.372,44;$8.564.075,32;$19.401,37;$27.895,75;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00004998 TUBO CUAD HR 70 X 70 CAL 14B;TUBO CUAD HR 70 X 70 CAL 14B;OP-0000165700004998 TUBO CUAD HR 70 X 70 CAL 14B;00105;02/02/2022;Und ;3.305,13;3.305,13;131,00;0,00;0,00;$0,00;$9.066.266,04;$0,00;$0,00;$0,00;IN143005  ;$27.895,75;$143.035,72;$331.259,25;EDP
;OP-00001657;00004999 TUBO CUAD HR 100 X 100 CAL 14B;CINTA HR 1.85 MM X 396 MM;OP-0000165700004999 TUBO CUAD HR 100 X 100 CAL 14B;00105;01/02/2022;kg  ;-3.338,00;0,00;0,00;3.338,00;3.338,00;$9.217.810,14;-$9.217.810,14;$9.207.076,23;$4.392,96;$6.340,95;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00004999 TUBO CUAD HR 100 X 100 CAL 14B;TUBO CUAD HR 100 X 100 CAL 14B;OP-0000165700004999 TUBO CUAD HR 100 X 100 CAL 14B;00105;02/02/2022;Und ;3.234,26;3.234,26;89,00;0,00;0,00;$0,00;$9.714.815,99;$0,00;$0,00;$0,00;IN143005  ;$6.340,95;$138.493,71;$362.905,10;EDP
;OP-00001657;00005035 TUBO CUAD 1 1/2 HR CAL 16A;CINTA HR 1, 35 MM X 148 MM;OP-0000165700005035 TUBO CUAD 1 1/2 HR CAL 16A;00105;01/02/2022;kg  ;-404,00;0,00;0,00;404,00;404,00;$1.804.877,38;-$1.804.877,38;$1.801.417,27;$1.414,99;$2.045,12;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00005035 TUBO CUAD 1 1/2 HR CAL 16A;CINTA HR 1,35 MM X 146 MM;OP-0000165700005035 TUBO CUAD 1 1/2 HR CAL 16A;00105;01/02/2022;kg  ;-922,00;0,00;0,00;922,00;922,00;$4.120.883,09;-$4.120.883,09;$4.112.931,68;$3.257,88;$4.693,53;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001657;00005035 TUBO CUAD 1 1/2 HR CAL 16A;TUBO CUAD 1 1/2 HR CAL 16A;OP-0000165700005035 TUBO CUAD 1 1/2 HR CAL 16A;00105;02/02/2022;Und ;1.356,64;1.356,64;139,00;0,00;0,00;$0,00;$6.120.714,87;$0,00;$0,00;$0,00;IN143005  ;$6.738,65;$57.659,02;$141.968,25;EDP
;OP-00001659;00004363 CINTA CR 0,52 MM X 145 MM;CINTA CR 0,52 MM X 145 MM;OP-0000165900004363 CINTA CR 0,52 MM X 145 MM;00105;01/02/2022;kg  ;6.930,00;6.930,00;6.930,00;0,00;0,00;$0,00;$24.289.559,97;$0,00;$0,00;$0,00;IN141006  ;$0,00;$49.813,28;$71.639,76;EDP
;OP-00001659;00004363 CINTA CR 0,52 MM X 145 MM;KILOS BOBINA 0.52 X 1220;OP-0000165900004363 CINTA CR 0,52 MM X 145 MM;00105;01/02/2022;kg  ;-6.951,00;0,00;0,00;6.951,00;6.951,00;$24.168.106,93;-$24.168.106,93;$24.168.106,93;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001659;00004399 CINTA GALV 0.52 MM X 145 MM;CINTA GALV 0.52 MM X 145 MM;OP-0000165900004399 CINTA GALV 0.52 MM X 145 MM;00105;01/02/2022;kg  ;9.960,00;9.960,00;9.960,00;0,00;0,00;$0,00;$42.768.065,69;$0,00;$0,00;$0,00;IN141006  ;$0,00;$99.827,42;$143.568,39;EDP
;OP-00001659;00004399 CINTA GALV 0.52 MM X 145 MM;KILO BOBINA GALVA 0.52X1.220 ASTM A792;OP-0000165900004399 CINTA GALV 0.52 MM X 145 MM;00105;01/02/2022;kg  ;-9.994,00;0,00;0,00;9.994,00;9.994,00;$42.524.669,88;-$42.524.669,88;$42.524.669,88;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001659;00004438 CINTA CR 0.52 MM X 58 MM;CINTA CR 0.52 MM X 58 MM;OP-0000165900004438 CINTA CR 0.52 MM X 58 MM;00105;01/02/2022;kg  ;346,00;346,00;346,00;0,00;0,00;$0,00;$1.229.116,44;$0,00;$0,00;$0,00;IN141006  ;$0,00;$6.427,52;$9.243,84;EDP
;OP-00001659;00004438 CINTA CR 0.52 MM X 58 MM;KILOS BOBINA 0.52 X 1220;OP-0000165900004438 CINTA CR 0.52 MM X 58 MM;00105;01/02/2022;kg  ;-349,00;0,00;0,00;349,00;349,00;$1.213.445,08;-$1.213.445,08;$1.213.445,08;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001659;00004561 CINTA GALV 0.52 MM X 41 MM;CINTA GALV 0.52 MM X 41 MM;OP-0000165900004561 CINTA GALV 0.52 MM X 41 MM;00105;01/02/2022;kg  ;346,00;346,00;346,00;0,00;0,00;$0,00;$1.511.498,26;$0,00;$0,00;$0,00;IN141006  ;$0,00;$12.453,32;$9.787,94;EDP
;OP-00001659;00004561 CINTA GALV 0.52 MM X 41 MM;KILO BOBINA GALVA 0.52X1.220 ASTM A792;OP-0000165900004561 CINTA GALV 0.52 MM X 41 MM;00105;01/02/2022;kg  ;-350,00;0,00;0,00;350,00;350,00;$1.489.257,00;-$1.489.257,00;$1.489.257,00;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001659;00004966 CINTA GALV 0.52 MM X 25 MM;CINTA GALV 0.52 MM X 25 MM;OP-0000165900004966 CINTA GALV 0.52 MM X 25 MM;00105;01/02/2022;kg  ;216,00;216,00;216,00;0,00;0,00;$0,00;$970.722,68;$0,00;$0,00;$0,00;IN141006  ;$0,00;$12.453,32;$17.909,94;EDP
;OP-00001659;00004966 CINTA GALV 0.52 MM X 25 MM;KILO BOBINA GALVA 0.52X1.220 ASTM A792;OP-0000165900004966 CINTA GALV 0.52 MM X 25 MM;00105;01/02/2022;kg  ;-221,00;0,00;0,00;221,00;221,00;$940.359,42;-$940.359,42;$940.359,42;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001660;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE FORRADO PVC 12.5;OP-0000166000004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;01/02/2022;kg  ;-3,00;0,00;0,00;3,00;3,00;$18.342,96;-$18.342,96;$18.342,96;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001660;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE GALV CAL. 17 (1,45 MM);OP-0000166000004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;01/02/2022;kg  ;-407,00;0,00;0,00;407,00;407,00;$2.111.117,14;-$2.111.117,14;$2.111.117,14;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001660;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;OP-0000166000004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;02/02/2022;Und ;449,50;449,50;29,00;0,00;0,00;$0,00;$2.399.388,10;$0,00;$0,00;$0,00;IN143005  ;$0,00;$89.232,00;$180.696,00;EDP
;OP-00001661;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;CINTA CR 0,52 MM X 145 MM;OP-0000166100002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;02/02/2022;kg  ;-4.373,00;0,00;0,00;4.373,00;4.373,00;$15.297.820,84;-$15.297.820,84;$15.250.487,66;$17.798,11;$29.535,07;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001661;00002363 FLEJE ANCHO CORRIENTE NEGRO C.24;FLEJE ANCHO CORRIENTE NEGRO C.24;OP-0000166100002363 FLEJE ANCHO CORRIENTE NEGRO C.24;00105;03/02/2022;Und ;4.560,00;4.560,00;1.216,00;0,00;0,00;$0,00;$15.671.339,46;$0,00;$0,00;$0,00;IN143005  ;$29.535,07;$234.321,76;$156.994,97;EDP
;OP-00001661;00002366 FLEJE GALV CORRIENTE CAL. 24;CINTA GALV 0.52 MM X 145 MM;OP-0000166100002366 FLEJE GALV CORRIENTE CAL. 24;00105;02/02/2022;kg  ;-4.942,00;0,00;0,00;4.942,00;4.942,00;$21.180.621,28;-$21.180.621,28;$21.061.024,88;$49.038,76;$70.557,64;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001661;00002366 FLEJE GALV CORRIENTE CAL. 24;FLEJE GALV CORRIENTE CAL. 24;OP-0000166100002366 FLEJE GALV CORRIENTE CAL. 24;00105;03/02/2022;Und ;5.100,00;5.100,00;1.360,00;0,00;0,00;$0,00;$21.619.146,70;$0,00;$0,00;$0,00;IN143005  ;$70.557,64;$303.241,45;$184.322,73;EDP
;OP-00001662;00001225 CINTA 0.75 MM x 147 MM;CINTA 0.75 MM x 147 MM;OP-0000166200001225 CINTA 0.75 MM x 147 MM;00105;02/02/2022;kg  ;22.281,00;22.281,00;22.281,00;0,00;0,00;$0,00;$95.146.856,41;$0,00;$0,00;$0,00;IN141006  ;$0,00;$61.664,02;$88.683,09;EDP
;OP-00001662;00001225 CINTA 0.75 MM x 147 MM;KILOS BOBINA 0.75 X 1.220;OP-0000166200001225 CINTA 0.75 MM x 147 MM;00105;02/02/2022;kg  ;-22.330,00;0,00;0,00;22.330,00;22.330,00;$94.996.509,30;-$94.996.509,30;$94.996.509,30;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001662;00001249 CINTA 0.75 MM x 117 MM;CINTA 0.75 MM x 117 MM;OP-0000166200001249 CINTA 0.75 MM x 117 MM;00105;02/02/2022;kg  ;2.533,00;2.533,00;2.533,00;0,00;0,00;$0,00;$10.831.006,00;$0,00;$0,00;$0,00;IN141006  ;$0,00;$8.636,98;$12.421,41;EDP
;OP-00001662;00001249 CINTA 0.75 MM x 117 MM;KILOS BOBINA 0.75 X 1.220;OP-0000166200001249 CINTA 0.75 MM x 117 MM;00105;02/02/2022;kg  ;-2.541,00;0,00;0,00;2.541,00;2.541,00;$10.809.947,61;-$10.809.947,61;$10.809.947,61;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
