;O_P_ Numero;Item_O_P;Desc_item;ITEMS_NUEVO ;Bodega;Fecha;U_M_inv.;Neto_peso;Entradas_peso;Entradas_inv;Salidas_inv;Salidas_peso;Salidas_prom;Neto_prom;Costo_MP_sal;Costo_MO_sal;Costo_CIF_sal;Tipo_inventario;Costo_CIF_NP_ent;Costo_MO_ent;Costo_CIF_EN_ent;Tipo_docto
;OP-00001727;00001139 TUBO RECT 20X40 C.20A;CINTA 0,75 MM X 116 MM;OP-0000172700001139 TUBO RECT 20X40 C.20A;00105;11/02/2022;kg  ;-919,00;0,00;0,00;919,00;919,00;$3.930.112,69;-$3.930.112,69;$3.924.901,96;$2.141,27;$3.069,46;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001727;00001139 TUBO RECT 20X40 C.20A;TUBO RECT 20X40 C.20A;OP-0000172700001139 TUBO RECT 20X40 C.20A;00105;12/02/2022;Und ;907,48;907,48;196,00;0,00;0,00;$0,00;$4.065.457,34;$0,00;$0,00;$0,00;IN143005  ;$3.069,46;$38.773,67;$98.712,25;EDP
;OP-00001727;00001143 TUBO RECT 2X1 C.20A;CINTA 0.75 MM x 147 MM;OP-0000172700001143 TUBO RECT 2X1 C.20A;00105;11/02/2022;kg  ;-1.154,00;0,00;0,00;1.154,00;1.154,00;$4.927.453,06;-$4.927.453,06;$4.922.790,90;$1.904,10;$2.758,06;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001727;00001143 TUBO RECT 2X1 C.20A;TUBO RECT 2X1 C.20A;OP-0000172700001143 TUBO RECT 2X1 C.20A;00105;14/02/2022;Und ;1.262,54;1.262,54;219,00;0,00;0,00;$0,00;$5.089.545,66;$0,00;$0,00;$0,00;IN143005  ;$2.758,06;$45.732,15;$118.264,55;EDP
;OP-00001727;00001145 TUBO RECT 2X1 C.22;CINTA 0,65 MM x 147 MM;OP-0000172700001145 TUBO RECT 2X1 C.22;00105;11/02/2022;kg  ;-1.005,00;0,00;0,00;1.005,00;1.005,00;$4.164.699,90;-$4.164.699,90;$4.159.705,05;$2.040,15;$2.954,70;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001727;00001145 TUBO RECT 2X1 C.22;TUBO RECT 2X1 C.22;OP-0000172700001145 TUBO RECT 2X1 C.22;00105;12/02/2022;Und ;1.129,86;1.129,86;224,00;0,00;0,00;$0,00;$4.300.044,55;$0,00;$0,00;$0,00;IN143005  ;$2.954,70;$38.672,55;$98.712,25;EDP
;OP-00001727;00001146 TUBO RECT 3X1 1/2 C.18B;CINTA 1,05 MM x 224 MM;OP-0000172700001146 TUBO RECT 3X1 1/2 C.18B;00105;11/02/2022;kg  ;-1.767,00;0,00;0,00;1.767,00;1.767,00;$7.503.318,12;-$7.503.318,12;$7.498.882,95;$1.820,01;$2.615,16;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001727;00001146 TUBO RECT 3X1 1/2 C.18B;TUBO RECT 3X1 1/2 C.18B;OP-0000172700001146 TUBO RECT 3X1 1/2 C.18B;00105;14/02/2022;Und ;1.898,24;1.898,24;160,00;0,00;0,00;$0,00;$7.746.617,51;$0,00;$0,00;$0,00;IN143005  ;$2.615,16;$67.627,50;$177.491,90;EDP
;OP-00001727;00001148 TUBO RECT 3X1 1/2 C.20A;CINTA 0.75 MM x 225 MM;OP-0000172700001148 TUBO RECT 3X1 1/2 C.20A;00105;11/02/2022;kg  ;-3.562,00;0,00;0,00;3.562,00;3.562,00;$15.207.959,00;-$15.207.959,00;$15.199.303,34;$3.562,00;$5.093,66;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001727;00001148 TUBO RECT 3X1 1/2 C.20A;TUBO RECT 3X1 1/2 C.20A;OP-0000172700001148 TUBO RECT 3X1 1/2 C.20A;00105;12/02/2022;Und ;3.416,69;3.416,69;396,00;0,00;0,00;$0,00;$15.721.947,69;$0,00;$0,00;$0,00;IN143005  ;$5.093,66;$142.634,29;$374.916,40;EDP
;OP-00001727;00001152 TUBO RECT 4X1 1/2 C.18A;CINTA CR 0.95 MM X 270 MM;OP-0000172700001152 TUBO RECT 4X1 1/2 C.18A;00105;11/02/2022;kg  ;-1.668,00;0,00;0,00;1.668,00;1.668,00;$6.915.945,00;-$6.915.945,00;$6.900.516,00;$6.321,72;$9.107,28;IN141006  ;$0,00;$0,00;$0,00;SCM
